Code,Description,last_updated
A368,Other diphtheria,09-12-2025
A3681,Diphtheritic cardiomyopathy,09-12-2025
A3682,Diphtheritic radiculomyelitis,09-12-2025
A3683,Diphtheritic polyneuritis,09-12-2025
A3684,Diphtheritic tubulo-interstitial nephropathy,09-12-2025
A3685,Diphtheritic cystitis,09-12-2025
A3686,Diphtheritic conjunctivitis,09-12-2025
A3689,Other diphtheritic complications,09-12-2025
A369,"Diphtheria, unspecified",09-12-2025
A37,Whooping cough,09-12-2025
A370,Whooping cough due to Bordetella pertussis,09-12-2025
A3700,Whooping cough due to Bordetella pertussis without pneumonia,09-12-2025
A3701,Whooping cough due to Bordetella pertussis with pneumonia,09-12-2025
A371,Whooping cough due to Bordetella parapertussis,09-12-2025
A3710,Whooping cough due to Bordetella parapertussis w/o pneumonia,09-12-2025
A3711,Whooping cough due to Bordetella parapertussis w pneumonia,09-12-2025
A378,Whooping cough due to other Bordetella species,09-12-2025
A3780,Whooping cough due to other Bordetella species w/o pneumonia,09-12-2025
A3781,Whooping cough due to oth Bordetella species with pneumonia,09-12-2025
A379,"Whooping cough, unspecified species",09-12-2025
A3790,"Whooping cough, unspecified species without pneumonia",09-12-2025
A3791,"Whooping cough, unspecified species with pneumonia",09-12-2025
A38,Scarlet fever,09-12-2025
A380,Scarlet fever with otitis media,09-12-2025
A381,Scarlet fever with myocarditis,09-12-2025
A388,Scarlet fever with other complications,09-12-2025
A389,"Scarlet fever, uncomplicated",09-12-2025
A39,Meningococcal infection,09-12-2025
A390,Meningococcal meningitis,09-12-2025
A391,Waterhouse-Friderichsen syndrome,09-12-2025
A392,Acute meningococcemia,09-12-2025
A393,Chronic meningococcemia,09-12-2025
A394,"Meningococcemia, unspecified",09-12-2025
A395,Meningococcal heart disease,09-12-2025
A3950,"Meningococcal carditis, unspecified",09-12-2025
A3951,Meningococcal endocarditis,09-12-2025
A3952,Meningococcal myocarditis,09-12-2025
A3953,Meningococcal pericarditis,09-12-2025
A398,Other meningococcal infections,09-12-2025
A3981,Meningococcal encephalitis,09-12-2025
A3982,Meningococcal retrobulbar neuritis,09-12-2025
A3983,Meningococcal arthritis,09-12-2025
A3984,Postmeningococcal arthritis,09-12-2025
A3989,Other meningococcal infections,09-12-2025
A399,"Meningococcal infection, unspecified",09-12-2025
A40,Streptococcal sepsis,09-12-2025
A400,"Sepsis due to streptococcus, group A",09-12-2025
A401,"Sepsis due to streptococcus, group B",09-12-2025
A403,Sepsis due to Streptococcus pneumoniae,09-12-2025
A408,Other streptococcal sepsis,09-12-2025
A409,"Streptococcal sepsis, unspecified",09-12-2025
A41,Other sepsis,09-12-2025
A410,Sepsis due to Staphylococcus aureus,09-12-2025
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,09-12-2025
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,09-12-2025
A411,Sepsis due to other specified staphylococcus,09-12-2025
A412,Sepsis due to unspecified staphylococcus,09-12-2025
A413,Sepsis due to Hemophilus influenzae,09-12-2025
A414,Sepsis due to anaerobes,09-12-2025
A415,Sepsis due to other Gram-negative organisms,09-12-2025
A4150,"Gram-negative sepsis, unspecified",09-12-2025
A4151,Sepsis due to Escherichia coli [E. coli],09-12-2025
A4152,Sepsis due to Pseudomonas,09-12-2025
A4153,Sepsis due to Serratia,09-12-2025
A4154,Sepsis due to Acinetobacter baumannii,09-12-2025
A4159,Other Gram-negative sepsis,09-12-2025
A418,Other specified sepsis,09-12-2025
A4181,Sepsis due to Enterococcus,09-12-2025
A4189,Other specified sepsis,09-12-2025
A419,"Sepsis, unspecified organism",09-12-2025
A42,Actinomycosis,09-12-2025
A420,Pulmonary actinomycosis,09-12-2025
A421,Abdominal actinomycosis,09-12-2025
A422,Cervicofacial actinomycosis,09-12-2025
A427,Actinomycotic sepsis,09-12-2025
A428,Other forms of actinomycosis,09-12-2025
A4281,Actinomycotic meningitis,09-12-2025
A4282,Actinomycotic encephalitis,09-12-2025
A4289,Other forms of actinomycosis,09-12-2025
A429,"Actinomycosis, unspecified",09-12-2025
A43,Nocardiosis,09-12-2025
A430,Pulmonary nocardiosis,09-12-2025
A431,Cutaneous nocardiosis,09-12-2025
A438,Other forms of nocardiosis,09-12-2025
A439,"Nocardiosis, unspecified",09-12-2025
A44,Bartonellosis,09-12-2025
A440,Systemic bartonellosis,09-12-2025
A441,Cutaneous and mucocutaneous bartonellosis,09-12-2025
A448,Other forms of bartonellosis,09-12-2025
A449,"Bartonellosis, unspecified",09-12-2025
A46,Erysipelas,09-12-2025
A48,"Other bacterial diseases, not elsewhere classified",09-12-2025
A480,Gas gangrene,09-12-2025
A481,Legionnaires' disease,09-12-2025
A482,Nonpneumonic Legionnaires' disease [Pontiac fever],09-12-2025
A483,Toxic shock syndrome,09-12-2025
A484,Brazilian purpuric fever,09-12-2025
A485,Other specified botulism,09-12-2025
A4851,Infant botulism,09-12-2025
A4852,Wound botulism,09-12-2025
A488,Other specified bacterial diseases,09-12-2025
A49,Bacterial infection of unspecified site,09-12-2025
A490,"Staphylococcal infection, unspecified site",09-12-2025
A4901,"Methicillin suscep staph infection, unsp site",09-12-2025
A4902,"Methicillin resis staph infection, unsp site",09-12-2025
A491,"Streptococcal infection, unspecified site",09-12-2025
A492,"Hemophilus influenzae infection, unspecified site",09-12-2025
A493,"Mycoplasma infection, unspecified site",09-12-2025
A498,Other bacterial infections of unspecified site,09-12-2025
A499,"Bacterial infection, unspecified",09-12-2025
A50,Congenital syphilis,09-12-2025
A500,"Early congenital syphilis, symptomatic",09-12-2025
A5001,Early congenital syphilitic oculopathy,09-12-2025
A5002,Early congenital syphilitic osteochondropathy,09-12-2025
A5003,Early congenital syphilitic pharyngitis,09-12-2025
A5004,Early congenital syphilitic pneumonia,09-12-2025
A5005,Early congenital syphilitic rhinitis,09-12-2025
A5006,Early cutaneous congenital syphilis,09-12-2025
A5007,Early mucocutaneous congenital syphilis,09-12-2025
A5008,Early visceral congenital syphilis,09-12-2025
A5009,"Other early congenital syphilis, symptomatic",09-12-2025
A501,"Early congenital syphilis, latent",09-12-2025
A502,"Early congenital syphilis, unspecified",09-12-2025
A503,Late congenital syphilitic oculopathy,09-12-2025
A5030,"Late congenital syphilitic oculopathy, unspecified",09-12-2025
A5031,Late congenital syphilitic interstitial keratitis,09-12-2025
A5032,Late congenital syphilitic chorioretinitis,09-12-2025
A5039,Other late congenital syphilitic oculopathy,09-12-2025
A504,Late congenital neurosyphilis [juvenile neurosyphilis],09-12-2025
A5040,"Late congenital neurosyphilis, unspecified",09-12-2025
A5041,Late congenital syphilitic meningitis,09-12-2025
A5042,Late congenital syphilitic encephalitis,09-12-2025
A5043,Late congenital syphilitic polyneuropathy,09-12-2025
A5044,Late congenital syphilitic optic nerve atrophy,09-12-2025
A5045,Juvenile general paresis,09-12-2025
A5049,Other late congenital neurosyphilis,09-12-2025
A505,"Other late congenital syphilis, symptomatic",09-12-2025
A5051,Clutton's joints,09-12-2025
A5052,Hutchinson's teeth,09-12-2025
A5053,Hutchinson's triad,09-12-2025
A5054,Late congenital cardiovascular syphilis,09-12-2025
A5055,Late congenital syphilitic arthropathy,09-12-2025
A5056,Late congenital syphilitic osteochondropathy,09-12-2025
A5057,Syphilitic saddle nose,09-12-2025
A5059,"Other late congenital syphilis, symptomatic",09-12-2025
A506,"Late congenital syphilis, latent",09-12-2025
A507,"Late congenital syphilis, unspecified",09-12-2025
A509,"Congenital syphilis, unspecified",09-12-2025
A51,Early syphilis,09-12-2025
A510,Primary genital syphilis,09-12-2025
A511,Primary anal syphilis,09-12-2025
A512,Primary syphilis of other sites,09-12-2025
A513,Secondary syphilis of skin and mucous membranes,09-12-2025
A5131,Condyloma latum,09-12-2025
A5132,Syphilitic alopecia,09-12-2025
A5139,Other secondary syphilis of skin,09-12-2025
A514,Other secondary syphilis,09-12-2025
A5141,Secondary syphilitic meningitis,09-12-2025
A5142,Secondary syphilitic female pelvic disease,09-12-2025
A5143,Secondary syphilitic oculopathy,09-12-2025
A5144,Secondary syphilitic nephritis,09-12-2025
A5145,Secondary syphilitic hepatitis,09-12-2025
A5146,Secondary syphilitic osteopathy,09-12-2025
A5149,Other secondary syphilitic conditions,09-12-2025
A515,"Early syphilis, latent",09-12-2025
A519,"Early syphilis, unspecified",09-12-2025
A52,Late syphilis,09-12-2025
A520,Cardiovascular and cerebrovascular syphilis,09-12-2025
A5200,"Cardiovascular syphilis, unspecified",09-12-2025
A5201,Syphilitic aneurysm of aorta,09-12-2025
A5202,Syphilitic aortitis,09-12-2025
A5203,Syphilitic endocarditis,09-12-2025
A5204,Syphilitic cerebral arteritis,09-12-2025
A5205,Other cerebrovascular syphilis,09-12-2025
A5206,Other syphilitic heart involvement,09-12-2025
A5209,Other cardiovascular syphilis,09-12-2025
A521,Symptomatic neurosyphilis,09-12-2025
A5210,"Symptomatic neurosyphilis, unspecified",09-12-2025
A5211,Tabes dorsalis,09-12-2025
A5212,Other cerebrospinal syphilis,09-12-2025
A5213,Late syphilitic meningitis,09-12-2025
A5214,Late syphilitic encephalitis,09-12-2025
A5215,Late syphilitic neuropathy,09-12-2025
A5216,Charcot's arthropathy (tabetic),09-12-2025
A5217,General paresis,09-12-2025
A5219,Other symptomatic neurosyphilis,09-12-2025
A522,Asymptomatic neurosyphilis,09-12-2025
A523,"Neurosyphilis, unspecified",09-12-2025
A527,Other symptomatic late syphilis,09-12-2025
A5271,Late syphilitic oculopathy,09-12-2025
A5272,Syphilis of lung and bronchus,09-12-2025
A5273,Symptomatic late syphilis of other respiratory organs,09-12-2025
A5274,Syphilis of liver and other viscera,09-12-2025
A5275,Syphilis of kidney and ureter,09-12-2025
A5276,Other genitourinary symptomatic late syphilis,09-12-2025
A5277,Syphilis of bone and joint,09-12-2025
A5278,Syphilis of other musculoskeletal tissue,09-12-2025
A5279,Other symptomatic late syphilis,09-12-2025
A528,"Late syphilis, latent",09-12-2025
A529,"Late syphilis, unspecified",09-12-2025
A53,Other and unspecified syphilis,09-12-2025
A530,"Latent syphilis, unspecified as early or late",09-12-2025
A539,"Syphilis, unspecified",09-12-2025
A54,Gonococcal infection,09-12-2025
A540,Gonocl infct of low GU tract w/o periureth or acc glnd abcs,09-12-2025
A5400,"Gonococcal infection of lower genitourinary tract, unsp",09-12-2025
A5401,"Gonococcal cystitis and urethritis, unspecified",09-12-2025
A5402,"Gonococcal vulvovaginitis, unspecified",09-12-2025
A5403,"Gonococcal cervicitis, unspecified",09-12-2025
A5409,Other gonococcal infection of lower genitourinary tract,09-12-2025
A541,Gonocl infct of lower GU tract w periureth and acc glnd abcs,09-12-2025
A542,Gonococcal pelviperitonitis and oth gonococcal GU infection,09-12-2025
A5421,Gonococcal infection of kidney and ureter,09-12-2025
A5422,Gonococcal prostatitis,09-12-2025
A5423,Gonococcal infection of other male genital organs,09-12-2025
A5424,Gonococcal female pelvic inflammatory disease,09-12-2025
A5429,Other gonococcal genitourinary infections,09-12-2025
A543,Gonococcal infection of eye,09-12-2025
A5430,"Gonococcal infection of eye, unspecified",09-12-2025
A5431,Gonococcal conjunctivitis,09-12-2025
A5432,Gonococcal iridocyclitis,09-12-2025
A5433,Gonococcal keratitis,09-12-2025
A5439,Other gonococcal eye infection,09-12-2025
A544,Gonococcal infection of musculoskeletal system,09-12-2025
A5440,"Gonococcal infection of musculoskeletal system, unspecified",09-12-2025
A5441,Gonococcal spondylopathy,09-12-2025
A5442,Gonococcal arthritis,09-12-2025
A5443,Gonococcal osteomyelitis,09-12-2025
A5449,Gonococcal infection of other musculoskeletal tissue,09-12-2025
A545,Gonococcal pharyngitis,09-12-2025
A546,Gonococcal infection of anus and rectum,09-12-2025
A548,Other gonococcal infections,09-12-2025
A5481,Gonococcal meningitis,09-12-2025
A5482,Gonococcal brain abscess,09-12-2025
A5483,Gonococcal heart infection,09-12-2025
A5484,Gonococcal pneumonia,09-12-2025
A5485,Gonococcal peritonitis,09-12-2025
A5486,Gonococcal sepsis,09-12-2025
A5489,Other gonococcal infections,09-12-2025
A549,"Gonococcal infection, unspecified",09-12-2025
A55,Chlamydial lymphogranuloma (venereum),09-12-2025
A56,Other sexually transmitted chlamydial diseases,09-12-2025
A560,Chlamydial infection of lower genitourinary tract,09-12-2025
A5600,"Chlamydial infection of lower genitourinary tract, unsp",09-12-2025
A5601,Chlamydial cystitis and urethritis,09-12-2025
A5602,Chlamydial vulvovaginitis,09-12-2025
A5609,Other chlamydial infection of lower genitourinary tract,09-12-2025
A561,Chlamydial infection of pelviperitoneum and oth GU organs,09-12-2025
A5611,Chlamydial female pelvic inflammatory disease,09-12-2025
A5619,Other chlamydial genitourinary infection,09-12-2025
A562,"Chlamydial infection of genitourinary tract, unspecified",09-12-2025
A563,Chlamydial infection of anus and rectum,09-12-2025
A564,Chlamydial infection of pharynx,09-12-2025
A568,Sexually transmitted chlamydial infection of other sites,09-12-2025
A57,Chancroid,09-12-2025
A58,Granuloma inguinale,09-12-2025
A59,Trichomoniasis,09-12-2025
A590,Urogenital trichomoniasis,09-12-2025
A5900,"Urogenital trichomoniasis, unspecified",09-12-2025
A5901,Trichomonal vulvovaginitis,09-12-2025
A5902,Trichomonal prostatitis,09-12-2025
A5903,Trichomonal cystitis and urethritis,09-12-2025
A5909,Other urogenital trichomoniasis,09-12-2025
A598,Trichomoniasis of other sites,09-12-2025
A599,"Trichomoniasis, unspecified",09-12-2025
A60,Anogenital herpesviral [herpes simplex] infections,09-12-2025
A600,Herpesviral infection of genitalia and urogenital tract,09-12-2025
A6000,"Herpesviral infection of urogenital system, unspecified",09-12-2025
A6001,Herpesviral infection of penis,09-12-2025
A6002,Herpesviral infection of other male genital organs,09-12-2025
A6003,Herpesviral cervicitis,09-12-2025
A6004,Herpesviral vulvovaginitis,09-12-2025
A6009,Herpesviral infection of other urogenital tract,09-12-2025
A601,Herpesviral infection of perianal skin and rectum,09-12-2025
A609,"Anogenital herpesviral infection, unspecified",09-12-2025
A63,"Oth predominantly sexually transmitted diseases, NEC",09-12-2025
A630,Anogenital (venereal) warts,09-12-2025
A638,Other specified predominantly sexually transmitted diseases,09-12-2025
A64,Unspecified sexually transmitted disease,09-12-2025
A65,Nonvenereal syphilis,09-12-2025
A66,Yaws,09-12-2025
A660,Initial lesions of yaws,09-12-2025
A661,Multiple papillomata and wet crab yaws,09-12-2025
A662,Other early skin lesions of yaws,09-12-2025
A663,Hyperkeratosis of yaws,09-12-2025
A664,Gummata and ulcers of yaws,09-12-2025
A665,Gangosa,09-12-2025
A666,Bone and joint lesions of yaws,09-12-2025
A667,Other manifestations of yaws,09-12-2025
A668,Latent yaws,09-12-2025
A669,"Yaws, unspecified",09-12-2025
A67,Pinta [carate],09-12-2025
A670,Primary lesions of pinta,09-12-2025
A671,Intermediate lesions of pinta,09-12-2025
A672,Late lesions of pinta,09-12-2025
A673,Mixed lesions of pinta,09-12-2025
A679,"Pinta, unspecified",09-12-2025
A68,Relapsing fevers,09-12-2025
A680,Louse-borne relapsing fever,09-12-2025
A681,Tick-borne relapsing fever,09-12-2025
A689,"Relapsing fever, unspecified",09-12-2025
A69,Other spirochetal infections,09-12-2025
A690,Necrotizing ulcerative stomatitis,09-12-2025
A691,Other Vincent's infections,09-12-2025
A692,Lyme disease,09-12-2025
A6920,"Lyme disease, unspecified",09-12-2025
A6921,Meningitis due to Lyme disease,09-12-2025
A6922,Other neurologic disorders in Lyme disease,09-12-2025
A6923,Arthritis due to Lyme disease,09-12-2025
A6929,Other conditions associated with Lyme disease,09-12-2025
A698,Other specified spirochetal infections,09-12-2025
A699,"Spirochetal infection, unspecified",09-12-2025
A70,Chlamydia psittaci infections,09-12-2025
A71,Trachoma,09-12-2025
A710,Initial stage of trachoma,09-12-2025
A711,Active stage of trachoma,09-12-2025
A719,"Trachoma, unspecified",09-12-2025
A74,Other diseases caused by chlamydiae,09-12-2025
A740,Chlamydial conjunctivitis,09-12-2025
A748,Other chlamydial diseases,09-12-2025
A7481,Chlamydial peritonitis,09-12-2025
A7489,Other chlamydial diseases,09-12-2025
A749,"Chlamydial infection, unspecified",09-12-2025
A75,Typhus fever,09-12-2025
